content,prior_type,state,n,prop
Owen shoveled snow last winter,factL,9,15,0.03546099290780142
Owen shoveled snow last winter,factL,10,8,0.018912529550827423
Sophia got a tattoo,factH,1,5,0.011389521640091117
Sophia got a tattoo,factH,2,4,0.009111617312072893
Sophia got a tattoo,factH,3,11,0.025056947608200455
Sophia got a tattoo,factH,4,14,0.03189066059225513
Sophia got a tattoo,factH,5,52,0.11845102505694761
Sophia got a tattoo,factH,6,102,0.23234624145785876
Sophia got a tattoo,factH,7,92,0.20956719817767655
Sophia got a tattoo,factH,8,78,0.1776765375854214
Sophia got a tattoo,factH,9,46,0.10478359908883828
Sophia got a tattoo,factH,10,35,0.07972665148063782
Sophia got a tattoo,factL,1,55,0.1288056206088993
Sophia got a tattoo,factL,2,62,0.1451990632318501
Sophia got a tattoo,factL,3,63,0.14754098360655737
Sophia got a tattoo,factL,4,62,0.1451990632318501
Sophia got a tattoo,factL,5,69,0.16159250585480095
Sophia got a tattoo,factL,6,55,0.1288056206088993
Sophia got a tattoo,factL,7,24,0.05620608899297424
Sophia got a tattoo,factL,8,13,0.03044496487119438
Sophia got a tattoo,factL,9,12,0.02810304449648712
Sophia got a tattoo,factL,10,12,0.02810304449648712
Tony had a drink last night,factH,2,1,0.002380952380952381
Tony had a drink last night,factH,3,6,0.014285714285714285
Tony had a drink last night,factH,4,3,0.007142857142857143
Tony had a drink last night,factH,5,22,0.05238095238095238
Tony had a drink last night,factH,6,45,0.10714285714285714
Tony had a drink last night,factH,7,70,0.16666666666666666
Tony had a drink last night,factH,8,101,0.24047619047619048
Tony had a drink last night,factH,9,111,0.2642857142857143
Tony had a drink last night,factH,10,61,0.14523809523809525
Tony had a drink last night,factL,1,238,0.5336322869955157
Tony had a drink last night,factL,2,92,0.2062780269058296
Tony had a drink last night,factL,3,43,0.09641255605381166
Tony had a drink last night,factL,4,21,0.04708520179372197
Tony had a drink last night,factL,5,12,0.026905829596412557
Tony had a drink last night,factL,6,14,0.03139013452914798
Tony had a drink last night,factL,7,9,0.020179372197309416
Tony had a drink last night,factL,8,6,0.013452914798206279
Tony had a drink last night,factL,9,4,0.008968609865470852
Tony had a drink last night,factL,10,7,0.01569506726457399
Zoe calculated the tip,factH,1,2,0.0044742729306487695
Zoe calculated the tip,factH,3,3,0.006711409395973154
Zoe calculated the tip,factH,4,6,0.013422818791946308
Zoe calculated the tip,factH,5,13,0.029082774049217
Zoe calculated the tip,factH,6,42,0.09395973154362416
Zoe calculated the tip,factH,7,61,0.13646532438478748
Zoe calculated the tip,factH,8,108,0.24161073825503357
Zoe calculated the tip,factH,9,99,0.2214765100671141
Zoe calculated the tip,factH,10,113,0.25279642058165547
Zoe calculated the tip,factL,1,241,0.5751789976133651
Zoe calculated the tip,factL,2,80,0.1909307875894988
Zoe calculated the tip,factL,3,41,0.09785202863961814
Zoe calculated the tip,factL,4,17,0.0405727923627685
Zoe calculated the tip,factL,5,11,0.026252983293556086
Zoe calculated the tip,factL,6,5,0.011933174224343675
Zoe calculated the tip,factL,7,8,0.01909307875894988
Zoe calculated the tip,factL,8,8,0.01909307875894988
Zoe calculated the tip,factL,9,5,0.011933174224343675
Zoe calculated the tip,factL,10,3,0.007159904534606206
